cell_id,node_id,f_veg,f_topo,ndmi_last,ndmi_fecha
r12c13,42.5_1.6,0.980369,1.066788,0.1819,2026-06-25
r12c12,42.5_1.6,1.020542,1.062987,0.1378,2026-06-25
r12c11,42.5_1.6,0.915054,1.010474,0.2536,2026-06-25
r10c3,42.5_1.5,1.009793,1.012352,0.1496,2026-06-25
r10c26,42.5_1.7,1.171669,0.952264,-0.0281,2026-06-25
r10c25,42.5_1.7,1.105079,0.98201,0.045,2026-06-25
r10c24,42.5_1.7,1.096151,0.928045,0.0548,2026-06-25
r10c23,42.5_1.7,0.994853,0.932172,0.166,2026-06-25
r10c22,42.5_1.7,1.078388,0.958497,0.0743,2026-06-25
r10c21,42.5_1.7,1.153086,1.011026,-0.0077,2026-06-25
r10c20,42.5_1.7,1.181325,0.985627,-0.0387,2026-06-25
r10c19,42.5_1.7,1.183238,1.021688,-0.0408,2026-06-25
r10c18,42.5_1.6,1.055067,1.005265,0.0999,2026-06-25
r10c17,42.5_1.6,0.947848,0.953352,0.2176,2026-06-25
r10c16,42.5_1.6,0.930722,0.968435,0.2364,2026-06-25
r10c15,42.5_1.6,0.871237,0.975851,0.3017,2026-06-25
r10c4,42.5_1.5,0.970075,0.997106,0.1932,2026-06-25
r10c14,42.5_1.6,0.85238,0.989763,0.3224,2026-06-25
r10c12,42.5_1.6,0.983375,1.01703,0.1786,2026-06-25
r10c11,42.5_1.6,1.01371,1.054939,0.1453,2026-06-25
r10c10,42.5_1.5,0.945297,1.007254,0.2204,2026-06-25
r0c9,42.4_1.5,0.984195,0.94912,0.1777,2026-06-25
r0c8,42.4_1.5,0.990298,0.974784,0.171,2026-06-25
r0c7,42.4_1.5,0.93801,0.993675,0.2284,2026-06-25
r0c6,42.4_1.5,0.954042,1.014507,0.2108,2026-06-25
r0c5,42.4_1.5,0.957959,0.980572,0.2065,2026-06-25
r0c4,42.4_1.5,1.026645,1.01398,0.1311,2026-06-25
r0c3,42.4_1.5,1.051606,1.046662,0.1037,2026-06-25
r0c11,42.4_1.6,1.067365,0.97747,0.0864,2026-06-25
r0c10,42.4_1.5,1.008244,0.954085,0.1513,2026-06-25
r9c8,42.5_1.5,1.043498,1.06103,0.1126,2026-06-25
r10c13,42.5_1.6,0.889182,0.981611,0.282,2026-06-25
r10c5,42.5_1.5,0.955591,0.971649,0.2091,2026-06-25
r10c6,42.5_1.5,0.924527,0.965079,0.2432,2026-06-25
r10c7,42.5_1.5,0.924436,0.978586,0.2433,2026-06-25
r12c10,42.5_1.5,0.965429,1.023348,0.1983,2026-06-25
r12c1,42.5_1.4,0.947483,0.987426,0.218,2026-06-25
r12c0,42.5_1.4,1.083398,0.966223,0.0688,2026-06-25
r11c9,42.5_1.5,0.940469,0.990631,0.2257,2026-06-25
r11c8,42.5_1.5,1.004874,0.998158,0.155,2026-06-25
r11c7,42.5_1.5,0.964518,1.024107,0.1993,2026-06-25
r11c6,42.5_1.5,1.02783,1.027101,0.1298,2026-06-25
r11c5,42.5_1.5,0.959599,0.976673,0.2047,2026-06-25
r11c4,42.5_1.5,0.949305,0.947876,0.216,2026-06-25
r11c3,42.5_1.5,1.034753,0.970989,0.1222,2026-06-25
r11c26,42.5_1.7,0.980278,0.924775,0.182,2026-06-25
r11c25,42.5_1.7,0.998497,0.956303,0.162,2026-06-25
r11c24,42.5_1.7,1.00123,0.950804,0.159,2026-06-25
r11c23,42.5_1.7,0.937281,0.943703,0.2292,2026-06-25
r11c22,42.5_1.7,1.048326,0.955829,0.1073,2026-06-25
r11c21,42.5_1.7,1.116192,0.952642,0.0328,2026-06-25
r11c20,42.5_1.7,1.091323,0.963066,0.0601,2026-06-25
r11c19,42.5_1.6,1.055614,0.954254,0.0993,2026-06-25
r11c18,42.5_1.6,0.946299,0.978263,0.2193,2026-06-25
r11c17,42.5_1.6,0.883261,0.956149,0.2885,2026-06-25
r11c16,42.5_1.6,0.867593,0.983645,0.3057,2026-06-25
r11c15,42.5_1.6,0.911865,1.017209,0.2571,2026-06-25
r11c14,42.5_1.6,0.969437,0.961175,0.1939,2026-06-25
r11c13,42.5_1.6,1.058893,0.976898,0.0957,2026-06-25
r11c12,42.5_1.6,1.016352,1.031362,0.1424,2026-06-25
r11c11,42.5_1.6,0.970895,1.006187,0.1923,2026-06-25
r11c10,42.5_1.5,0.929811,0.962585,0.2374,2026-06-25
r10c9,42.5_1.5,0.955591,1.041728,0.2091,2026-06-25
r10c8,42.5_1.5,0.963061,1.031329,0.2009,2026-06-25
r14c21,42.6_1.7,0.888271,0.954058,0.283,2026-06-25
r14c22,42.6_1.7,0.913232,1.013774,0.2556,2026-06-25
r14c23,42.6_1.7,0.998588,0.975409,0.1619,2026-06-25
r14c24,42.6_1.7,1.115555,0.959381,0.0335,2026-06-25
r17c6,42.6_1.5,1.0087,1.035279,0.1508,2026-06-25
r17c5,42.6_1.5,0.979185,1.056002,0.1832,2026-06-25
r17c4,42.6_1.5,0.983375,1.046189,0.1786,2026-06-25
r17c3,42.6_1.5,1.074653,1.062252,0.0784,2026-06-25
r17c26,42.6_1.7,1.160009,0.988326,-0.0153,2026-06-25
r17c25,42.6_1.7,1.11765,0.9879,0.0312,2026-06-25
r17c24,42.6_1.7,1.044409,0.960373,0.1116,2026-06-25
r17c23,42.6_1.7,1.064814,0.968624,0.0892,2026-06-25
r17c22,42.6_1.7,0.929993,0.954931,0.2372,2026-06-25
r17c21,42.6_1.7,0.830608,0.967395,0.3463,2026-06-25
r17c20,42.6_1.7,0.918515,1.017565,0.2498,2026-06-25
r17c2,42.6_1.4,1.115646,1.069114,0.0334,2026-06-25
r17c19,42.6_1.6,0.905762,1.009689,0.2638,2026-06-25
r17c7,42.6_1.5,0.998133,1.061727,0.1624,2026-06-25
r17c18,42.6_1.6,0.894739,1.030405,0.2759,2026-06-25
r17c16,42.6_1.6,0.886176,1.016099,0.2853,2026-06-25
r17c15,42.6_1.6,1.012435,1.028665,0.1467,2026-06-25
r17c14,42.6_1.6,1.005785,1.02522,0.154,2026-06-25
r17c13,42.6_1.6,1.136051,1.033022,0.011,2026-06-25
r17c12,42.6_1.6,1.137873,0.994646,0.009,2026-06-25
r17c11,42.6_1.6,0.961694,0.981852,0.2024,2026-06-25
r17c10,42.6_1.5,0.875518,0.982091,0.297,2026-06-25
r17c1,42.6_1.4,1.173765,1.042584,-0.0304,2026-06-25
r16c9,42.6_1.5,0.92225,1.042801,0.2457,2026-06-25
r16c8,42.6_1.5,0.981189,1.014285,0.181,2026-06-25
r16c7,42.6_1.5,0.913687,1.027549,0.2551,2026-06-25
r16c6,42.6_1.5,0.937008,1.061175,0.2295,2026-06-25
r16c5,42.6_1.5,0.940378,1.024897,0.2258,2026-06-25
r17c17,42.6_1.6,0.986108,1.029102,0.1756,2026-06-25
r17c8,42.6_1.5,0.987383,1.056881,0.1742,2026-06-25
r17c9,42.6_1.5,0.922523,1.007435,0.2454,2026-06-25
r18c10,42.6_1.5,0.93555,1.038491,0.2311,2026-06-25
r19c15,42.6_1.6,1.161558,1.023379,-0.017,2026-06-25
r19c14,42.6_1.6,1.131952,1.017953,0.0155,2026-06-25
r19c13,42.6_1.6,1.124391,0.972948,0.0238,2026-06-25
r19c12,42.6_1.6,1.100159,1.008903,0.0504,2026-06-25
r19c11,42.6_1.6,0.941016,1.02867,0.2251,2026-06-25
r19c10,42.6_1.5,0.914325,1.018651,0.2544,2026-06-25
r18c9,42.6_1.5,0.943293,1.023555,0.2226,2026-06-25
r18c8,42.6_1.5,0.915327,1.016693,0.2533,2026-06-25
r18c7,42.6_1.5,1.061353,1.032871,0.093,2026-06-25
r18c6,42.6_1.5,1.141972,1.025351,0.0045,2026-06-25
r18c5,42.6_1.5,1.125757,1.047231,0.0223,2026-06-25
r18c4,42.6_1.5,1.076566,1.035634,0.0763,2026-06-25
r18c3,42.6_1.5,1.100251,1.041995,0.0503,2026-06-25
r18c25,42.6_1.7,1.143521,1.014477,0.0028,2026-06-25
r18c24,42.6_1.7,1.084764,1.014907,0.0673,2026-06-25
r18c23,42.6_1.7,0.930722,0.965639,0.2364,2026-06-25
r18c22,42.6_1.7,0.899203,0.976257,0.271,2026-06-25
r18c21,42.6_1.7,0.878524,1.024653,0.2937,2026-06-25
r18c20,42.6_1.7,1.020269,1.015105,0.1381,2026-06-25
r18c2,42.6_1.4,1.18916,1.026334,-0.0473,2026-06-25
r18c19,42.6_1.6,0.971806,1.010367,0.1913,2026-06-25
r18c18,42.6_1.6,0.909223,1.022652,0.26,2026-06-25
r18c17,42.6_1.6,1.057253,1.027903,0.0975,2026-06-25
r18c16,42.6_1.6,1.009155,1.033085,0.1503,2026-06-25
r18c15,42.6_1.6,1.122842,1.004144,0.0255,2026-06-25
r18c14,42.6_1.6,1.131041,1.019659,0.0165,2026-06-25
r18c13,42.6_1.6,1.094329,1.004631,0.0568,2026-06-25
r18c12,42.6_1.6,1.003963,0.999009,0.156,2026-06-25
r18c11,42.6_1.6,0.953405,1.011306,0.2115,2026-06-25
r16c4,42.6_1.5,1.028285,1.037645,0.1293,2026-06-25
r19c17,42.6_1.6,1.14015,1.031831,0.0065,2026-06-25
r16c30,42.6_1.8,0.966522,1.040963,0.1971,2026-06-25
r16c29,42.6_1.8,1.010522,0.995466,0.1488,2026-06-25
r15c25,42.6_1.7,0.945115,1.01205,0.2206,2026-06-25
r15c24,42.6_1.7,1.021817,1.000849,0.1364,2026-06-25
r15c23,42.6_1.7,1.089137,0.984385,0.0625,2026-06-25
r15c22,42.6_1.7,0.96297,1.013816,0.201,2026-06-25
r15c21,42.6_1.7,0.891187,0.972044,0.2798,2026-06-25
r15c20,42.6_1.7,0.838442,0.934912,0.3377,2026-06-25
r15c2,42.6_1.4,1.017171,1.020832,0.1415,2026-06-25
r15c19,42.6_1.6,0.858483,0.942071,0.3157,2026-06-25
r15c18,42.6_1.6,0.858757,0.942291,0.3154,2026-06-25
r15c17,42.6_1.6,0.847825,0.976577,0.3274,2026-06-25
r15c16,42.6_1.6,0.901025,1.022837,0.269,2026-06-25
r15c15,42.6_1.6,1.008153,1.049889,0.1514,2026-06-25
r15c14,42.6_1.6,0.941836,1.02461,0.2242,2026-06-25
r15c26,42.6_1.7,1.008882,1.048496,0.1506,2026-06-25
r15c13,42.6_1.6,0.954953,1.020396,0.2098,2026-06-25
r15c11,42.6_1.6,0.940834,1.031384,0.2253,2026-06-25
r15c10,42.6_1.5,0.938738,1.031635,0.2276,2026-06-25
r14c9,42.6_1.5,0.995582,1.020323,0.1652,2026-06-25
r14c8,42.6_1.5,0.964336,1.033391,0.1995,2026-06-25
r14c7,42.6_1.5,0.976087,1.045006,0.1866,2026-06-25
r14c6,42.6_1.5,0.937554,1.03816,0.2289,2026-06-25
r14c5,42.6_1.5,0.941653,1.042857,0.2244,2026-06-25
r14c4,42.6_1.5,0.919335,1.031319,0.2489,2026-06-25
r14c29,42.6_1.8,0.892097,0.944088,0.2788,2026-06-25
r14c28,42.6_1.8,0.881257,0.942763,0.2907,2026-06-25
r14c27,42.6_1.7,0.866409,0.980972,0.307,2026-06-25
r14c26,42.6_1.7,0.945935,0.989742,0.2197,2026-06-25
r14c25,42.6_1.7,1.0578,0.955694,0.0969,2026-06-25
r15c12,42.6_1.6,0.9289,1.044815,0.2384,2026-06-25
r15c27,42.6_1.7,0.946573,1.036096,0.219,2026-06-25
r15c28,42.6_1.8,0.970166,1.048244,0.1931,2026-06-25
r15c29,42.6_1.8,0.957595,1.036648,0.2069,2026-06-25
r16c28,42.6_1.8,1.078023,1.025876,0.0747,2026-06-25
r16c27,42.6_1.7,1.110271,1.037564,0.0393,2026-06-25
r16c26,42.6_1.7,1.103894,1.029022,0.0463,2026-06-25
r16c25,42.6_1.7,1.134229,1.025413,0.013,2026-06-25
r16c24,42.6_1.7,1.12266,1.007829,0.0257,2026-06-25
r16c23,42.6_1.7,1.108358,0.972504,0.0414,2026-06-25
r16c22,42.6_1.7,1.000319,0.994057,0.16,2026-06-25
r16c21,42.6_1.7,0.909679,1.022405,0.2595,2026-06-25
r16c20,42.6_1.7,0.952038,0.993189,0.213,2026-06-25
r16c2,42.6_1.4,1.090321,0.967236,0.0612,2026-06-25
r16c19,42.6_1.6,0.971442,0.994693,0.1917,2026-06-25
r16c18,42.6_1.6,0.930904,1.008258,0.2362,2026-06-25
r16c17,42.6_1.6,0.984104,1.058128,0.1778,2026-06-25
r16c16,42.6_1.6,0.918606,1.047401,0.2497,2026-06-25
r16c15,42.6_1.6,0.914416,1.015351,0.2543,2026-06-25
r16c14,42.6_1.6,0.902756,1.036296,0.2671,2026-06-25
r16c13,42.6_1.6,1.037121,1.038032,0.1196,2026-06-25
r16c12,42.6_1.6,1.058073,1.052266,0.0966,2026-06-25
r16c11,42.6_1.6,0.908495,1.042639,0.2608,2026-06-25
r16c10,42.6_1.5,0.899112,1.033325,0.2711,2026-06-25
r16c1,42.6_1.4,1.119198,1.042412,0.0295,2026-06-25
